Tip,Paylaþým,,,,
Pozitif,Yunan in dünyanýn delirdigi gün olsun bugün Gün bizim günümüz gün müslümanlarýn günü Ayasofya ,,,,
Pozitif,Yunan kanadindan da açýklama geldi Hazmedeceksiniz ,,,,
Pozitif, alisukru keske hayat vatandir keske yunan olsaydim da sizinle muhattap oluyor olmasaydim su an ,,,,
Pozitif, Elhamdülillah Maþallah Allah razý olsun _ Turkey ,,,,
Negatif,çok þükür açýldý da HDPkk lý vekil maskeli teröristlere ne oluyor ki onlarý ilgilendiren hatta namazsýz abdestsiz kansýz cenabet yunan artýklarýný ilgilendiren hiç bir þey yok ,,,,
Negatif,Ýcimizde ki Bizans artýgý Yunan lýlar isim degiþitirip bizden oldugunu iddaa eden Rum Yahudi Ve bilimum dönmeleri tanýmak icin tarihi fýrsat Ayasofya nýn acýlmasý onlarý cýldýrtacak ve ortaya dökülecekler dikkatle izleyin cemkirenleri þimdi ,,,,
Negatif,Telefonda yunan üstatlarýna hesap veriyordur aðlýyordur ,,,,
Negatif,Bizim nedir bu fistanlilardan çektiðimiz Yunan fistanli PKK fistanli Dhkpc fista li CHP fistanli olmasa da lgbt ci Ne edecez biz bunlarla ,,,,
Negatif, Kudur yunan Kudur papa Kudurun icimizde ki Bizanslýlar ,,,,
Negatif,Yunan dostlarýna nasýl izahat verecek onu düþünüyordur Istanbul þeysi ,,,,
Negatif,Ayasofya nýn açýlmasýndan rahatsýz olan yunan dölleriiiii evet ekonomi düzelmicek evet pandemi bitmicek evet ayný sorunlar devam edecek de bunun Ayasofya Camiiiiisiyle olan ilgisi nedir hadi gidin abdest alýn bi sakinlersiniz ,,,,
Pozitif,Tebrikler Yunan dan farkýmýz yok mu yani ,,,,
Pozitif,Allah kimin emeði geçtiyse onlardan razý olsun Kral harekettir Yunan deniz suyu istiyor ise Gelelim ,,,,
Pozitif,Yunan medyasý çýlgýna dönmüþ olanlara inanamýyorlarmýþ bir kelime de onlara edelim Hayyalessaleh siz de birþey diyor musunuz arkadaþlar AyasofyaCamiidir ,,,,
Negatif,Bizler Biriz Yunan tohumlarý kudursun ,,,,
Pozitif,Yunan iþene bak sen ,,,,
Pozitif,Yunan aðlamaa Yunan aðlamaaa ,,,,
Pozitif,Erdoðan ne koydu ama Ayasofya artýk bizim þimdi sýrada bütün yunan topraklarý ,,,,
Negatif,Adama bak koskoca Allaha güvenmeyip amel defterini kendi tutuyo aq,,,,
Pozitif,"Galatasaray, kadýn basketbol takýmý koçu Efe Güven’in sözleþmesini bir yýllýðýna uzattý.",,,,
Pozitif,Olacaðý buydu. Ne kadar üzücü.,,,,
Pozitif,Ensemde 2 tane kuþ dövmesi var. Az önce arkadaþ diyor ki “ bu kuþlar neyi temsil ediyor bende dedim ki “Ýnternet paketim bitince Twitter’a buradan giriyorum. Bu kuþlar Twitter’ýn kuþlarý ,,,,
Pozitif,Biyoloji hiçbir zaman bir probleme “çözüldü” damgasýný vurup listeden silmez; sürekli yeni çözümler icat eder.  Bakmaya devam ettikçe daha fazlasýný buluruz. Yani rakipler takýmý mimarisi için gerekli koþullarý saðlayan bir sistemdir.,,,,
Pozitif,kedilerin fasulye ayýklayabildiðini düþünen insanlarýz bizden zarar gelir mi'yav,,,,
Pozitif,"dað keçilerini vurmayýn diyorsun, ayý yavrusunu öldürüyorlar. kaz daðlarý'ný koruyayým diyorsun, munzur vadisi gidiyor elden. uzungöl'ü kurtarayým derken, hasankeyf'i kaptýrýyorsun. salda gölü'ne yoðunlaþýyorsun, dipsiz gölü kurutuyorlar. kötülük çok organize. baþa çýkmak zor.",,,,
Pozitif,"TÜÝK Nisan ayýnda istihdam edilen kiþi sayýsý geçen yýlýn ayný dönemine göre 3 Milyon 13 bin, geçen aya göre 519 azalmasýna raðmen iþsizliðin düþtüðünü açýklamýþ. Harikalar diyarýndaki bu TÜÝK’e Corona verilerini açýklatýn, iddia ediyorum memlekette virüs kalmaz.",,,,
Negatif,manitaya nude atmisiz da nude atman degil o guveni kazanmam beni cok mutlu etti demis gibi bi gun orospu cocugu az ovsene dunya guzelim senden guzeli yok cok fenayim desene amck,,,,
Pozitif,"Dað keçilerine dokunma diye tag açýlmýþ. Yaþayan her þeyi, güzel olan her þeyi adamlardan korumaya çalýþýyoruz. Nasýl bir bela bu",,,,
Negatif,"Þehit ailesiyiz.Ben tamamýný izleyemedim, babama ve babaanneme de  üzülürler diye gösteremedim. Yazýklar olsun size. O adam benim amcamý, bir çocuðun babasýný, baþka birinin evladýný öldürdü.Elimizle boðsak hýncýmýz geçmeyecek, devlet hoþ geldin töreni hazýrlamýþ.Yazýklar olsun!",,,,
Pozitif,Yarýn Herkese Bilim ve Teknoloji dergisini almayý unutmayýn - Orhan Bursalý ile röportajým çýkacak,,,,
Negatif,Ezelin annesi kör Meliha koklayarak karnýyarýk yapýyor Ankaragücü 30 haftada 10 galibiyet alamýyor amk... ne alaka diye sormayýn lütfen,,,,
Pozitif,Yoðurt bizim bu arada bizi bölemeyecekseniz önümüzü kesem3yecrksiniz buma isin vermices,,,,
Pozitif,kitap okuyun desek okumazsýnýz þurada 300 tweet’lik dedikodu okuyorsunuz abicim bakýn olmaz böyle,,,,
Pozitif,Ýþ yerinde mühendislik terimlerinin Ýngilizcesini havalý olsun diye kullanýyorum sanýyorlar ama asýl problem Türkçelerini bilmemem,,,,
Pozitif,"Güzel kýzým; baban gerçek gazetecilik yapmanýn bedelini ödüyor. Türkiye hukuk devleti olacak, haksýzlýklar son bulacak, baban özgürlüðüne, sen babana kavuþacaksýn. Gözlerinden öpüyorum.",,,,
Pozitif,"Polis, Avukata yumruk atýp, Cübbesini yýrttamaz. Bu kabul edilemez. Öte yandan Barolara, terör ile iltisaklý, diyen ve çoklu Baro getirmek isteyen iktidar partisi, terörist ile iltisak arýyorsa geçmiþini kurcalayýp, yoklasýn.",,,,
Negatif,Off abartma sende ya dogma buyuma fransiz sanki daha önce hic gecirmemismis acundan önce yazlari nereye gidiyodunuz aq,,,,
Pozitif,"Kendi öz yurdumda ben miyim garip?Beni bir köþeye atan utansýn.Eðilmiyor diye kurdu hor görüp,Ýti el üstünde tutan utansýn.",,,,
Pozitif,Bir insanýn 29 yaþýna kadar seks yapamamasý toplumsal bir sorundur.,,,,
Pozitif,"Köyde bir irfan varsa eðer, bu ölüm hakkýnda olmalý. Köylü ölümle iç içe yaþýyor. Hayvanlar ölüyor, bitkiler ölüyor, doða devamlý kendini yeniliyor. Köylü bu dünyada geçici olduðunu ilk elden görüyor bu belki de, okuyup etmeden insanlara güzel bir perspektif kazandýrýyor.",,,,
Pozitif,"Artvin'in Arhavi ilçesine giden sanatçý Haluk Levent, ilçenin simgelerinden olan Kamilet Vadisi'nde bulunan Çifte Köprü'de yöresel çalgýlardan tulum eþliðinde gitar çaldý, þarký söyledi.",,,,
Negatif,Adama bak koskoca Allaha güvenmeyip amel defterini kendi tutuyo aq,,,,
Pozitif,Tolstoy'un kitaplarýný TÜRKÇE okuyoruz çünkü RUS deðiliz;ama kur'an-ý kerimi ARAPÇA okutmak istiyorlar çünkü anlamamak ve öðrenmemizi istemedikleri için!,,,,
Pozitif,"Bugün sizlere Polatlý ilçemizin Frig Uygarlýðý’nýn baþkentinden Sakarya Meydan Muharebesi’nin kalbine uzanan yolculuðunu tanýtmak istiyor, herkese hayýrlý cumalar diliyorum.",,,,
Pozitif,Almanyada yasayan gurbetcimizin hilal oldugu için bayragýmýzý yere cizemezsiniz tepkisi..,,,,
Pozitif,"Araç satýþý yapan yerlerin ikramlarý muazzamdýr, yiyin için, test sürüþü yapýp þöförlüðünüzü geliþtirin, arabanýn içinde fotoðraf çekilin ",,,,
Pozitif,"Evleniyorsun, balayýna gitmiþsin, kahvaltýda eþin þey diyor; “Rey aslýnda Anakin'den daha güçlü”",,,,
Pozitif,Bir insanýn hayatý boyunca karþýlaþabileði en muhteþem doða olaylarýndan biri,,,,
Pozitif,"Ülkücülük MHP de olur diyen arkadaþlar.Adrese gittim yoktunuz, sordum;onlar, AKP ye taþýndý dediler.!!!",,,,
Pozitif,yakýn kýz arkadaþlarýmla çiçekli elbiselerimizi giyip þýkýr þýkýr yemeðe gitmek istiyorum tüm dertlerimizi unutup,,,,
Pozitif,Çay þekerli mi þekersiz mi buyrun tartýþmaya,,,,
Pozitif,"7 yýl önce Eskiþehir’in karanlýk sokaðýnda organize kötülük “vurmayýn, öldüm” diyen 19 yaþýnda güzel bir çocuðu kopardý yaþamdan. Seni yüreðimizde yaþatacaðýz güzel çocuk. Senin ahýn emri verenlerin, arkadaþlarý yapmýþtýr diyenlerin peþini býrakmayacak.",,,,
Pozitif,"Sony’nin geçen sene tanýttýðý Reon Rocket isimli giyilebilir klima sonunda satýþa çýktý. Özel tshirt’ü sayesinde vücut sýcaklýðýný 8 derece azaltabilen ürün 120 dolardan, tshirt’ü ise 20 dolardan satýlýyor",,,,
Pozitif,"Seul belediye baþkaný kayýp. Sabah 10'da ofisinden çýkan Bld. baþkaný Park, ortadan kayboldu. Ölü bulundu gibi haberler yayýnlandý ancak doðru deðilmiþ. Hala haber yok, Kore basýný þokta.",,,,
Pozitif,"Durum o kadar hýzlý geliþti ki, iddialar yaðýyor. Siyasi suikast da deniliyor ama kanýmca ihtimali çok düþük. Cinsel taciz iddia hakkýnda da henüz basýna aktarýlan kesin bilgi yok.",,,,
Pozitif,Herkesten özür dilerim. Hayatýmda benimle yürüyen herkese teþekkür ederim. Sadece acý çeken ailemden özür dilerim. Cesedimi yakýp anne babamýn mezarlýðýna dökün. Hoþça kalýn.,,,,
Pozitif,Arkadaþlar konuyu saptýrmayalým. Konumuz Türkçe dil bilgisi.Yoksa açýklama için kendisine teþekkür ediyoruz.,,,,
Pozitif,"Bir insanýn 29 yaþýna kadar seks yapamamasý sorun deðildir. Bunun pek çok nedeni olabilir ve bu nedenler kimseyi ilgilendirmeyebilir. Cinsellik üzerinden insanlara deðer biçmeyi býrakýrsak insanoðlu olarak rahatlarýz epey. Süreçler kiþiseldir, seks bir edinim deðildir.",,,,
Pozitif,"Halay baþý out gözlemci in... Bilim Kurulu Üyesi ""artýk müdahale olacak"" dedi",,,,
Pozitif,"O hep 19 yaþýnda, ama katilleri hala dýþarda",,,,
Pozitif,Açýða neden çýkarýlmadý... Cumhurbaþkaný'nýn para hareketlerini sorgulama talimatýný kim verdi,,,,
Pozitif,"Karantina haberlerini biraz araþtýrýp paylaþtým. Bakanlýk güncel karantina haberlerini paylaþýrsa daha anlaþýlýr olacaktýr.  Devlet dairesinden vatandaþýn evine, sokaðýna kadar yayýlým devam ediyor. Tedbirli olmakta fayda var",,,,
Pozitif,Kurallara uymayan ve uyulmayan yerleri zorunda kalmadýkça tercih etmeyin.,,,,
Pozitif,Dünyadaki en güçlü insanlar kimlerdir diye sorsalar; kendi baþýnýn çaresine bakmayý öðrenmiþ kadýnlardýr derdim.,,,,
Pozitif,“Öleceðin güne kadar yalnýz kalabilirsin. Bunun bir sýnýrý yok.”,,,,
Pozitif,Bingöl'de Kovid-19 vakalarýnýn tespit edildiði merkeze baðlý Gökdere köyünde hastalýðýn yayýlmasýný engellemek amacýyla 14 süreyle karantina kararý alýndý.,,,,
Pozitif,Süt ve süt ürünleri üretiminde faaliyet gösteren ve geçtiðimiz yýl kayyum atanan YÖRSAN'ýn iflas talebi kabul edildi.,,,,
Pozitif,"Bugün ýssýz, kimsesiz bir tepede, bir baþýma ve huzurla güne veda ettim.",,,,
Pozitif,nazar deðmesin diye paylaþýlamayan þeyler.,,,,
Pozitif,Ellerinde kýlýç ve hançerlerle tekbir getirip sýnýrý geçtiler,,,,
Pozitif,Kuleli Askeri Lisesi binasý araplara mý satýldý ?,,,,
Pozitif,"Babama covid tanýsý kondu. Birkaç gündür evde karantina da. Kontrole gibince ambulans götürüyor ama kontrolden sonra sizi ambulansla býrakamayýz  dendi. Þimdi biz gelince virüs vardý giderken yok mu?Yada toplu ulaþýmý kullansa hastalar, bunun sorumlusu kim?",,,,
Pozitif,Utanmaya yüzü olmayan kendini açýk sözlü zannediyor.,,,,
Pozitif,"Dýþiþleri Bakaný Mevlüt Çavuþoðlu, Türkiye'nin Ýngiltere ile sanayi ürünleri, tarým ürünleri ve hizmetleri kapsayan bir serbest ticaret anlaþmasý imzalamaya çok yakýn olduðunu belirtti.",,,,
Pozitif,normal mi ayrýldýnýz aldatmalý mý,,,,
Pozitif,Mitokondri DNA'sýnda ilk defa gen düzenlemesi yapýlmýþ. Mitokondriyal hastalýklarýn yanýnda metabolik çalýþmalar için de önemli bir basamak…,,,,
Pozitif,Güney Kore'de eski cumhurbaþkanýnýn yolsuzluk davasý: Hapis cezasý 20 yýla indirildi,,,,
Pozitif,"Ýntikamý hayat alýr, sen farkýna varmazsýn",,,,
Pozitif,"Ailemizin talebi üzerine evlerinin tadilatý yapýlýp mobilyalarý temin edildi, ailemizin ihtiyaçlarýný karþýlayan Ýzmir Sanayici ve Ýþ Ýnsanlarý Derneði’ne teþekkür ediyoruz. Ailemize saðlýklý bir ömür diliyoruz",,,,
Pozitif,"ABD’de eski futbolcu, bir binada çýkan yangýnda annesinin kurtarmak için 3. kattan attýðý küçük çocuðu havada yakalayarak kurtardý. O anlar kameralara yansýdý.",,,,
Pozitif,Kalem tutmaktan oje sürmeyi unutmuþum 4 kez sildikten sonra baþarabildim yok mu bi alkýþ,,,,
Pozitif,"Yýlmaz Özdil yazdý... Barolarýmýz hukuk mitingi yapacak, þak, Ankara valiliði “virüs var” diye yasak getiriyor… Ayný gün ayný Ankara'dan Avrupa'ya garanti veriliyor, “bizde virüs yok” denilerek, turist gönderilmesi isteniyor.",,,,
Pozitif,Bu download bakmayýnca hemen yavaþlýyo ya usta gibi baþýnda durmak gerekiyo yoksa kaytarýr.,,,,
Pozitif,büyük konustugum ne varsa hepsini yaptim masallah irademe,,,,
Pozitif,Þhop mu HSBSJDSK bari doðru yaz ,,,,
Pozitif,BURSAMIZ BU KÝRLETÝLMÝÞ YÖNETÝMDEN KURTULMALI ,,,,
Negatif,Yeterki sen iste sabaha kadar yalarým seni ,,,,
Pozitif,birileri sýla dinlemiþ ,,,,
Pozitif, Duanýn gücüne Ýnan çünkü kalp duadan yaratýlmýþtýr ,,,,
Pozitif, beko be çok seviyorum seni yiðidim aslanim aldigin her sayi ananýn ak sütü gibi helaldir ,,,,
Pozitif, Hayrlý olsun Þükür Allâh yardýmcýmýz olsun `` Kiþi safiyet ve samimiyetini bozmadýðý sürece Allah ýn yardým eli ,,,,
Pozitif,Tamam yanlýþ anlaþýlma olmus ,,,,
Negatif,Antiler Gelmeden Þunu diyim kudurun ,,,,
Pozitif, aylýk emeði kimse hafta için çöpe atamaz yasin helal sana survivorpanorama MAÞALLAH BARIÞ ,,,,
Negatif,Kayýnvalidem öldüðünden beri kayýnbabam duldur Kayýnbabamýn sekste azgýn bir boða gibi olduðunu rahmetli saðlýðýnda sýk sýk vurgular þöyle doðtu dürüst bir götünün üstüne oturamadýðýndan yakýnýrdý Bizim evde ise tam tersi bir durum Kocam her þe ,,,,
Negatif,Ne yalan söylesem nasýl kývýrsam diye düþünüyordur þimdi Bunlar maalesef arsýz RecepTayyipErdogan _BuyukTurkiye_ ,,,,
Pozitif, Bakýn burasý Eþek Adasý yýl boyunca Türk topraðýydý Didim den teknelerle günübirlik pikniðe gidilirdi te ,,,,
Pozitif, Sarýkla cübbeyle iþi olan yobazdýr dediler yeri geldiðinde meydanlara çýkýp ben de bu vatanýn sahibiyim dedin Sen yaptýn ,,,,
Pozitif, Ben sana küsmedim gahirlendim ,,,,
Negatif,Siteden biriyle flört etmek efsane deðil mi ne kadar rezil biri olabileceðini peþin peþin görüyo attýðýn tivitler vasýtasýyla ,,,,
Negatif,akp genel baþkaný acilen bu ahlaksýzlýk yuvasýný kapatmalý ,,,,
Negatif,Alçak levent özeren sene gecikmeli de olsa tutuklanmýþ temmuz evden cýkmayýn askere teslim olun diyodu bu it Muhalif olmak baþka þey hain olmak baþka Bu levent hep haindi hep soyledik ,,,,
Pozitif, SN YAVAÞ BU COÞKUYU BEKLÝYORUZ AYASOFYA ÝÇÝNDE BÖYLE KENDÝNDEN GEÇMEM LAZIM ,,,,
Pozitif,`` Vasiyetnamenin tamamýný açýklarsak hem Türkiye hem dünyada yer yerinden oynar Ýþte bugünkü kararýn özü budur ,,,,
Pozitif,Bu akþam gelen takipçiler yarýn ayýlýp takibi býrakmayýn az ýstikrarlý olun ,,,,
Pozitif,Cok deðiþik bir senaryoymuþ ,,,,
Pozitif, Tek parti dönemi zihniyeti laðvedilmiþtir ,,,,
Pozitif, Cezaevleri deðil adaletsizlik ölüme sürüklüyor Bu kadar kayýtsýzlýk da artýk cana tak ettiriyor ,,,,
Pozitif,Duymayan görmeyen insanlara derdimizi anlatmaya çalýþýyoruz ,,,,
Pozitif, Venedik i su altýnda kalmaktan koruyacak bariyerler ilk kez test edildi,,,,
Negatif,gerede gizli çekim gençler pornusu izle ablasýnýn arkadaþýyla zerrin egeliler sev erptik video izle türk poýrnolarý ,,,,
Pozitif, `` Ýnanç odaklý bir tartýþma yapýlacaksa bunun konusu Ayasofya deðildir  ,,,,
Pozitif, Nolur bana ýsrar etmeyin bir þeyi istemiyorsam ýsrar edince daha çok istemem ,,,,
Pozitif, BAÞAK hiçbir þeyi unutamýyor ve her þeye karþý takýntýlýdýr Bir þeyi unutmak istese bile unutamýyor en çok da kötü anýl ,,,,
Pozitif,Valla deðil ama sadece kere yapabildim çok gaza gelmiþtim ,,,,
Pozitif, Berkan Nisoo sana bi sozum vardi bak burdaa duygulandirdin babako emegine saglik ,,,,
Pozitif,Hayýr iþte olmalý bi çözümü biz onca gece uykumuzu yok yere mi böldük ,,,,
Pozitif,Home office çalýþmaktan ,,,,
Pozitif,bir sen miydin yoksa bana iyi gelen ,,,,
Negatif, Çok cahilsin Mesut Ayasofya camisine bir þey olmadý sadece statüsü deðiþti Ama sen bunu bile anlayabilecek bir konumda deðilsin bence Unesco da kalmaya devam edecek sadece statü deðiþti ,,,,
Negatif, Nihayet güzel bir haber Allah tez zamanda acil þifalar versin Bir daha ayýrmasýn Sen de o vicdan ve o yürek yok ancak ,,,,
Negatif,Her þey bitti bu mu kaldý mankafa sivrisinek beyinli kan emici hazýmsýz herif Þuna sinirimden çatladým desene ,,,,
Pozitif,of sevdam depreþti ,,,,
Pozitif,eski takipçilerimi bulun bana ,,,,
Pozitif, Cinsel iliþki olmadan da iliþki yürür mesafeler olsa da iliþki yürür yeter ki sevebilecek yürek saygý duyabilecek bey ,,,,
Pozitif,Bugün yine baþýmý belaya soktumm ,,,,
Pozitif,Bana diyorlarr neden denizi cok seviyorsun ben de diyorum belli olmaz yüzerken goz yaslari ,,,,
Pozitif, Biri var çok özledim ,,,,
Pozitif,oh be yanlýz deðilmiþim ,,,,
Pozitif,Binali Yýldýrýmýn orada ne iþi var ,,,,
Pozitif,Kardeþim fizik bilgilerine muhtacým ,,,,
Pozitif,Tam uyunmalýk yer evet ama bir dahakine yeþilleri kullanarak risk alma bence ,,,,
Pozitif, Çok mu zor bu dünyada bir hayvan sevmek bir kadýna çicek vermek ,,,,
Pozitif,bilemicem orasýný artýk alndslaþzmz ,,,,
Pozitif, Dostoyevski Budala kitabýnda þöyle diyor Senden kaçtý çünkü seni ne kadar çok sevdiðinin farkýna vardý Senin yanýnda ,,,,
Pozitif,Tabi El Hamra sarayýnýn çatýsýnda oturup aðlamak hayalimi gerçekleþtirdin Þimdi beni bunla avutuyorsun Yer mi anadolu çocuðu ,,,,
Pozitif,Yine yeniden piþman olunacak þeyler yapýldý ,,,,
Negatif,Hay amýna koyim böyle iþin bile bile ateþe atýyorum kendimi amk ,,,,
Pozitif, Rabbimize sonsuz hamd ü senâlar olsun ,,,,
Negatif,Kesin sesinizi ,,,,
Negatif, orhan pamuk pelikan merve tascý kendini sünniden üstün goruyo siz kimsiniz lan kölesiniz biz köleyiz köle olmalýyýz ,,,,
Pozitif,Düþe kalka büyüyorum iþte ,,,,
Pozitif,Absent ya da raký içince çok azýyom ya hiç hoþ deðil ,,,,
Pozitif,Derede nasýl yuruyeyim be hz Ýsa mýyým ben,,,,
Pozitif,Yine aþýk oldum ,,,,
Pozitif,epi bütüyle kayan hayatlar adlý çalýþma ,,,,
Pozitif, Nefis üç köþeli dikendir ne türlü koysan batar Mevlana ,,,,
Pozitif,Ne havalý Yýrtma yapýþtýrma ,,,,
Pozitif,`` Serdengeçti artýk bitti Bu ayrýlýk cana yetti O bir demdi gelip geçti Gelsen de bir gelmesen de Osman Yüksel Serdengeçti ,,,,
Pozitif, her þeyden uzaklaþmak isteyip en fazla balkona çýkabilmek ,,,,
Pozitif,aticam kendimi bi yerden ,,,,
Pozitif,gerçekten mutlu insanlar çizemediðim için havalý ve umursamaz bir çizim ile teþekkür etmek zorundayým ,,,,
Pozitif, dünyanýn en zor þeyi olmuþu deðiþtirmek yani `` tadilat yapmak ,,,,
Pozitif,Eger gercekleri biliyorsaniz insanlarin iki yüzlülüklerine gülüp gecebilirsiniz ,,,,
Pozitif,bunu yapmamalýsýn kabusum olmamalýydýn ,,,,
Pozitif, kýzma ya ,,,,
Pozitif, bi sabah uyandým yoktun arandým yoktun hala bulamýyorum ,,,,
Pozitif,Fenerbahçe istemediði için Galatasaray a gitmiþ olabilirler mi acaba kedi ulaþamadýðý ciðere mu dar dermiþ ulan Fenerbahçe nin aldýðý her oyuncuyu da Galatasaray liymiþ muamelesi her alamadýðýnýz oyuncuya aynýsýný yapýyorsunuz alýþmýþsýnýz G S maçlarý öncesi futbolcu ayartmaya ,,,,
Pozitif, Boþ dükkana kira ödedik ,,,,
Pozitif,nerede gördüðümü unuttum ama cidden hikayesi bu adam çok sonradan fotoðraflara bakarken fark ediyor ,,,,
Pozitif, Son söz Büyük adýmlar atmak kolaydýr Büyük adýmlarý attýktan sonra geri adým atmadan ilerlemek zordur Tuðrul Bey Baðd ,,,,
Pozitif, ama gerçekten ben daha baþýndayým bu tanýþma isteme niþan düðün insaný geriyor gündür profilde bir þey yapamadým ama ,,,,
Pozitif,hayat kýsa ama þartlarýn olgunlaþmasý çok vakit alýyor ,,,,
Pozitif, allah sokak hayvanlarýna eziyet edenlerin canýndan alýp sokak hayvanlarýna versin ,,,,
Pozitif, necatimeral_ parcatuhaftik Marmara da gördük çuval olayýn da gördük Suriye ye gerek yok ,,,,
Pozitif, Gördüðü þiddeti maskeleyen milyonlarca kadýndan biri ailende akrabalarýnda apartmanýnda mahallende okulunda aynada o ,,,,
Pozitif, açýldý diye sabahtan akþama kadar sevinç çýðlýklarý atanlara soruyorum,,,,
Pozitif,Ayy gece gece heyecanlandým,,,,
Pozitif,alýþtým aslýnda her cocukluguna bunca derdin arasýnda ,,,,
Pozitif,Çiçek açsýn ruhumuz ,,,,
Pozitif,makarnayla turþu ikilisi her þeyden daha güzel ,,,,
Negatif,Kýzým sen mal mýsýn ,,,,
Pozitif, morali bozuk olunca müziðe sýðýnan insanlardan zarar gelmez ,,,,
Pozitif, Gerçekten hem psikolojik hem fiziksel olarak çok uðraþtý ve yýprandý Emeklerinin karþýlýðýný alýrsýn inþallah Cemal Can,,,,
Pozitif,Süslenip püslenip yorma kendini Güldüðün kadar güzelsin bu hayatta Kocaeli Turkey ,,,,
Pozitif,þimdiki dostumun adý bir hiçlik hep bir aðýzdan kendine iyi bak ,,,,
Pozitif, Soran Sorgulayanlar için hikayesini enine boyuna konuþuyoruz,,,,
Pozitif,az once twt robot musun diye test etti bir dk bekleyecegim yoksa tekrar ban alirim muhtemelen ,,,,
Pozitif,Ulen þimdi Foça da bira içmek vardý ,,,,
Pozitif, birine kýzýp herkese agresifleþmek her þey deðiþir bu özelliðim deðiþmez ,,,,
Negatif,Evet tatlým her yanýmý yala ,,,,
Pozitif, Ey gönül toprak altýna götüremeyeceðin dertlerin tasasýna düþme ,,,,
Pozitif,Ayvalikta Sarimsakli tarafina yakin `` yeni carahori koyü var kucukkoy diye de geciyo cundadan daha guzel kesinlikle Eski bizans koyü pek bilen yok Tavsiye ederim ,,,,
Negatif,Her gun diyorum ki allahim iyiki iyikii cikarmisim hayatimdan aq vizyonsuzlarini ,,,,
Pozitif, þarap gibi tenin var sarhoþ olmaya müsait boynunun o güzel kokusuyla uyut beni ,,,,
Pozitif,Bi de Çamlýca tepesi var ,,,,
Negatif,Bu dedigime inanmayanlar olmus ses kaydi atabilirim lol nerden buldun bu gerizekaliyi diyen Kisiyi bekliyorum ,,,,
Pozitif,Her yerden sýkýþtýrýlýyorum yarabbim ,,,,
Pozitif, Albüm notlarýný nasýl okuyabilirim LY Her Tear amp Answer Oku Ýndir https t co dJwnLnoAc MO ,,,,
Pozitif, askim kalk künefe yemeye gidelim ,,,,
Pozitif, Özge Gürel in oyunculuðundaki müthiþ ilerleme beni hayran býraktý vallahi Çok kötüydü önceden demiyorum ama bariz bi fark var,,,,
Pozitif, HÜNGÜR HÜNGÜR AÐLIYORUM DOKUNULMAZLIKLAR YÜZÜNDEN AYLIK EMEÐÝNÝN BOÞA GÝDECEÐÝNÝ DÜÞÜNÜYOR AÐLAYACAK DURUMA GELMÝÞ NOL ,,,,
Pozitif, Þu görsel Kalbimi çok kýrdý Her þeyini varýný yokunu ortaya koyduðunu biliyoruz Lütfen üzme kendini bu hikayenin sonu ,,,,
Pozitif, babanýzýn size sürekli söylediði bir söz söyleyin ,,,,
Pozitif,Hocam bu ABD ne yapýyor Vatandaþtan vergisini gayet iyi alýyor Amazon gibi bir devden aldýðý vergi trajikomik ,,,,
Pozitif,Ýkilem ikilem Þimdi Türkiye nin her yerini demiraðlar ile öreceðim desen hemen ertesi gün linç yersin Ovadan gitsen ekilebilir araziler yok oluyor derler daðdan gitsen güzelim daðý ormaný yok ettin derler Bugün Avrupa da bile yeni bir demiryolu zor inþa edersin ,,,,
Pozitif,Seni seviyor ama beklemiyorum Özlüyor ama söylemiyorum Biraz kýzgýným sana bir hayli de kýrgýn Ömrüm adýna gebeyken Adýmý aklýna düþman kýlmayý nasýl baþarýyorsun `` Bilal Kýzmaz ,,,,
Pozitif, Anlamsýz günlerden bir tanesini daha yolcu ettik ,,,,
Pozitif,öpücem öpücem dedim sana bambam ,,,,
Pozitif,kafamdan baþka yüküm yok ,,,,
Pozitif,kendime sardým ,,,,
Pozitif,Büyük Altay Þanýnla þerefinle sizi zamanýnda ligten düþüren erzurumlulara gerekeni yapýn el ele süper lige çýkalim Süper lig Adana Demirspor ile Altay kardeþliðini büyüklüðünü görsün Dualarimiz sizinle bu maçi kazanacaksýnýz ,,,,
Pozitif,Bugün de buna yakalým ,,,,
Pozitif,Ablacým üzülme sen lütfen ,,,,
Negatif,hain diyen orospu çocuðudur.,,,,
Negatif,müneccim yarra mi yedin,,,,
Negatif,gelse yeme böyle yarra,,,,
Negatif,Lan yarra yiyorduk firdo saolsun,,,,
Negatif,bu sayfa yarra yemiþ,,,,
Negatif,Yarra bak ünal a babanýz diyerek gönderme yapýyor sence bu bana koyarmý götünü siktire siktire basur oluþturan þahýs,,,,
Negatif,Zenci yarra sandým ag,,,,
Negatif,At amý gibi olmuþ maranýn aðzýna benziyor ona nasýl bir yarrak lazýmki yarra doysun,,,,
Negatif,ya bu adamlar gittiklerinde bunlarýn zararlarý nasýl düzeltilcek aq en az 5 yýl daha yarra yedik,,,,
Negatif,bu camia neden yarra yemiþ diye soranlara yanýt niteliðinde,,,,
Negatif,ulan avrupa-abd-israil þimdi yarra kökünden yediniz,,,,
Negatif,fenerbahçe beko bütün zencileri toplamýþ yarra yediniz,,,,
Negatif,Uygulanacak ambargo üzerine peki bir istanbul depremimiz yok mu? Yarra tamamen yiyelim.,,,,
Negatif,Memleket yarra yemiþ bu müptezelin aklý fikri karý kýzda,,,,
